D = 0.0632, p-value = 0.3804
D = 0.0865, p-value = 0.2894
D = 0.0769, p-value = 0.1376
D = 0.0462, p-value = 0.5727
D = 0.0881, p-value = 0.09677
D = 0.1083, p-value = 0.06359
D = 0.0656, p-value = 0.4732
D = 0.0397, p-value = 0.8287
D = 0.0492, p-value = 0.8254
D = 0.086, p-value = 0.2479
D = 0.0441, p-value = 0.6189
D = 0.0794, p-value = 0.1867
D = 0.0537, p-value = 0.4342
D = 0.0599, p-value = 0.5758
D = 0.0695, p-value = 0.3497
D = 0.0576, p-value = 0.5603
D = 0.0301, p-value = 0.9367
D = 0.0956, p-value = 0.09418
D = 0.0545, p-value = 0.7042
D = 0.0469, p-value = 0.8327
D = 0.0886, p-value = 0.06022
D = 0.0841, p-value = 0.2643
D = 0.0426, p-value = 0.9636
D = 0.1014, p-value = 0.008952
D = 0.0261, p-value = 0.9495
D = 0.0774, p-value = 0.2547
D = 0.0737, p-value = 0.1796
D = 0.0769, p-value = 0.2638
D = 0.0751, p-value = 0.05412
D = 0.0826, p-value = 0.1884
D = 0.0713, p-value = 0.1321
D = 0.09, p-value = 0.06448
D = 0.0685, p-value = 0.143
D = 0.0526, p-value = 0.5441
D = 0.0605, p-value = 0.367
D = 0.1408, p-value = 0.000203
D = 0.1244, p-value = 0.02049
D = 0.0533, p-value = 0.5451
D = 0.0815, p-value = 0.2295
