W = 0.9879, p-value = 0.07653
W = 0.9635, p-value = 0.001519
W = 0.9875, p-value = 0.04475
W = 0.9926, p-value = 0.1633
W = 0.9777, p-value = 0.003356
W = 0.9585, p-value = 0.0002112
W = 0.9738, p-value = 0.003093
W = 0.989, p-value = 0.05688
W = 0.9859, p-value = 0.09834
W = 0.9683, p-value = 0.002326
W = 0.9899, p-value = 0.04058
W = 0.9678, p-value = 0.0002518
W = 0.9861, p-value = 0.01184
W = 0.9842, p-value = 0.05042
W = 0.971, p-value = 0.0008445
W = 0.9902, p-value = 0.2288
W = 0.9956, p-value = 0.5231
W = 0.9814, p-value = 0.02458
W = 0.9854, p-value = 0.07721
W = 0.9839, p-value = 0.04014
W = 0.9831, p-value = 0.009071
W = 0.9722, p-value = 0.005192
W = 0.9932, p-value = 0.7519
W = 0.9578, p-value = 6.217e-07
W = 0.9962, p-value = 0.4687
W = 0.9782, p-value = 0.008385
W = 0.984, p-value = 0.01305
W = 0.9821, p-value = 0.02648
W = 0.9852, p-value = 0.002293
W = 0.9787, p-value = 0.009403
W = 0.9774, p-value = 0.0003087
W = 0.9711, p-value = 0.0002439
W = 0.9786, p-value = 0.0003227
W = 0.996, p-value = 0.8114
W = 0.9892, p-value = 0.08252
W = 0.9186, p-value = 5.673e-10
W = 0.9568, p-value = 0.0001417
W = 0.9886, p-value = 0.07231
W = 0.9708, p-value = 0.001589
