   1:  2x82-A 23.6  1.9  142   145   65 PDB  MOLECULE: CAPSID PROTEIN P24;                                        
   2:  3h4e-K 22.4  1.7  133   198   96 PDB  MOLECULE: CAPSID PROTEIN P24;                                        
   3:  4htw-A 21.9  1.8  139   142   63 PDB  MOLECULE: GAG PROTEIN;                                               
   4:  1l6n-A 17.8  1.9  136   288   99 PDB  MOLECULE: GAG POLYPROTEIN;                                           
   5:  2lf4-A 16.9  3.2  143   232   98 PDB  MOLECULE: GAG POLYPROTEIN;                                           
   6:  2xgv-A 16.8  2.2  126   133   27 PDB  MOLECULE: PSIV CAPSID N-TERMINAL DOMAIN;                             
   7:  2xgu-A 16.6  2.5  135   143   26 PDB  MOLECULE: RELIK CAPSID N-TERMINAL DOMAIN;                            
   8:  1eia-A 13.4  2.4  117   207   21 PDB  MOLECULE: EIAV CAPSID PROTEIN P26;                                   
   9:  2v4x-A 13.0  2.7  124   131   11 PDB  MOLECULE: CAPSID PROTEIN P27;                                        
  10:  4ph0-A 10.4  2.6  113   201   16 PDB  MOLECULE: BLV CAPSID;                                                
  11:  2kgf-A 10.3  2.8  125   140   12 PDB  MOLECULE: CAPSID PROTEIN P27;                                        
  12:  2y4z-A  9.7  3.3  116   135   13 PDB  MOLECULE: CAPSID PROTEIN P30;                                        
  13:  5a9e-A  9.5  3.3  119   254   11 PDB  MOLECULE: DELTAMBD GAG PROTEIN;                                      
  14:  1qrj-A  8.8  2.6  104   214   11 PDB  MOLECULE: HTLV-I CAPSID PROTEIN;                                     
  15:  1g03-A  7.7  3.2  103   134   12 PDB  MOLECULE: HTLV-I CAPSID PROTEIN;                                     
  16:  2chq-A  4.9  4.7   86   313    9 PDB  MOLECULE: REPLICATION FACTOR C SMALL SUBUNIT;                        
  17:  1iqp-A  4.7  4.2   87   326    5 PDB  MOLECULE: RFCS;                                                      
  18:  1sxj-E  4.7  4.2   88   317    6 PDB  MOLECULE: ACTIVATOR 1 95 KDA SUBUNIT;                                
  19:  3bge-A  4.7  2.8   75   163   11 PDB  MOLECULE: PREDICTED ATPASE;                                          
  20:  1sxj-B  4.4  6.9   77   316   10 PDB  MOLECULE: ACTIVATOR 1 95 KDA SUBUNIT;                                
  21:  2r9g-L  4.4  3.2   78   188    6 PDB  MOLECULE: AAA ATPASE, CENTRAL REGION;                                
  22:  3pvs-D  4.4  4.1   82   424   10 PDB  MOLECULE: REPLICATION-ASSOCIATED RECOMBINATION PROTEIN A;            
  23:  3ctd-B  4.2  2.6   69   158    6 PDB  MOLECULE: PUTATIVE ATPASE, AAA FAMILY;                               
  24:  3a9c-B  4.1  3.3   80   325   14 PDB  MOLECULE: TRANSLATION INITIATION FACTOR EIF-2B, DELTA SUBUN          
  25:  4onr-A  4.0  3.6   89   147   10 PDB  MOLECULE: DECORIN-BINDING PROTEIN DBPA;                              
  26:  2lqu-A  3.9  3.5   88   168   11 PDB  MOLECULE: DECORIN-BINDING PROTEIN A;                                 
  27:  4px7-A  3.7  3.9   92   251    7 PDB  MOLECULE: PHOSPHATIDYLGLYCEROPHOSPHATASE;                            
  28:  1sxj-D  3.7  4.4   85   328   12 PDB  MOLECULE: ACTIVATOR 1 95 KDA SUBUNIT;                                
  29:  3glf-G  3.6  6.1   81   378   12 PDB  MOLECULE: DNA POLYMERASE III SUBUNIT DELTA;                          
  30:  1j8m-F  3.6  3.3   68   295   12 PDB  MOLECULE: SIGNAL RECOGNITION 54 KDA PROTEIN;                         
