   1   3lqh-A  3.9  3.2   67   174    3 PDB  MOLECULE: HISTONE-LYSINE N-METHYLTRANSFERASE MLL;                    
   2   3lqi-B  3.7  3.3   68   177    4 PDB  MOLECULE: MLL1 PHD3-BROMO;                                           
   3   3lqi-A  3.7  3.3   67   176    4 PDB  MOLECULE: MLL1 PHD3-BROMO;                                           
   4   3lqj-B  3.6  3.3   64   175    3 PDB  MOLECULE: MLL1 PHD3-BROMO;                                           
   5   3lqj-A  3.6  3.2   66   177    3 PDB  MOLECULE: MLL1 PHD3-BROMO;                                           
   6   3j9p-D  3.4  3.4   58   560    7 PDB  MOLECULE: MALTOSE-BINDING PERIPLASMIC PROTEIN, TRANSIENT RE          
   7   3j9p-C  3.4  3.4   57   560    9 PDB  MOLECULE: MALTOSE-BINDING PERIPLASMIC PROTEIN, TRANSIENT RE          
   8   3j9p-B  3.4  3.4   57   560    9 PDB  MOLECULE: MALTOSE-BINDING PERIPLASMIC PROTEIN, TRANSIENT RE          
   9   3lqi-C  3.4  3.5   66   181    3 PDB  MOLECULE: MLL1 PHD3-BROMO;                                           
  10   1nzb-F  3.4  3.3   62   322    2 PDB  MOLECULE: CRE RECOMBINASE;                                           
  11   4e2p-A  3.3  3.5   56   370    7 PDB  MOLECULE: CYTOCHROME P450 107B1 (P450CVIIB1);                        
  12   2y5n-B  3.3  3.4   55   400    9 PDB  MOLECULE: P-450-LIKE PROTEIN;                                        
  13   3j9p-A  3.3  3.5   57   560    7 PDB  MOLECULE: MALTOSE-BINDING PERIPLASMIC PROTEIN, TRANSIENT RE          
  14   3c28-B  3.3  3.2   63   315    2 PDB  MOLECULE: RECOMBINASE CRE;                                           
  15   1q3u-B  3.3  3.3   62   322    2 PDB  MOLECULE: CRE RECOMBINASE;                                           
  16   1pvq-B  3.3  3.1   62   319    2 PDB  MOLECULE: 34-MER;                                                    
  17   1xns-A  3.3  3.4   63   322    3 PDB  MOLECULE: RECOMBINASE CRE;                                           
  18   3oft-B  3.3  3.2   59   393    7 PDB  MOLECULE: CYTOCHROME P450;                                           
  19   1pvr-B  3.3  3.1   62   320    2 PDB  MOLECULE: RECOMBINASE CRE;                                           
  20   4kp3-D  3.2  2.7   46    82    7 PDB  MOLECULE: UNCONVENTIONAL MYOSIN-VA;                                  
  21   2wh8-B  3.2  3.0   56   392    4 PDB  MOLECULE: PUTATIVE CYTOCHROME P450 130;                              
  22   2wh8-D  3.2  3.7   57   389    5 PDB  MOLECULE: PUTATIVE CYTOCHROME P450 130;                              
  23   4kp3-C  3.2  3.0   47    81    6 PDB  MOLECULE: UNCONVENTIONAL MYOSIN-VA;                                  
  24   3c28-A  3.2  3.3   63   299    3 PDB  MOLECULE: RECOMBINASE CRE;                                           
  25   1kbu-B  3.2  3.2   63   319    2 PDB  MOLECULE: CRE RECOMBINASE;                                           
  26   1q3v-B  3.2  3.2   62   322    2 PDB  MOLECULE: CRE RECOMBINASE;                                           
  27   1nzb-A  3.2  3.4   62   332    2 PDB  MOLECULE: CRE RECOMBINASE;                                           
  28   1q3v-F  3.2  3.3   62   322    2 PDB  MOLECULE: CRE RECOMBINASE;                                           
  29   2rom-A  3.2  3.6   58   399   10 PDB  MOLECULE: CYTOCHROME P450;                                           
  30   1nzb-B  3.2  3.2   62   322    5 PDB  MOLECULE: CRE RECOMBINASE;                                           
  31   1ma7-A  3.2  3.4   61   323    2 PDB  MOLECULE: CRE RECOMBINASE;                                           
  32   3crx-A  3.2  3.4   62   323    2 PDB  MOLECULE: CRE RECOMBINASE;                                           
  33   5crx-A  3.2  3.4   63   297    3 PDB  MOLECULE: PROTEIN (BACTERIOPHAGE P1 CRE GENE);                       
  34   1xo0-B  3.2  3.4   62   322    2 PDB  MOLECULE: RECOMBINASE CRE;                                           
  35   2crx-A  3.2  3.4   62   305    2 PDB  MOLECULE: PROTEIN (CRE RECOMBINASE);                                 
  36   3crx-B  3.2  3.2   62   323    2 PDB  MOLECULE: CRE RECOMBINASE;                                           
