   1:  3vrl-C 12.8  1.2   72    73   88 PDB  MOLECULE: A10F9 FAB HEAVY CHAIN;                                     
   2:  1eia-A 12.2  1.8   73   207   40 PDB  MOLECULE: EIAV CAPSID PROTEIN P26;                                   
   3:  3h4e-K 11.0  2.0   63   198   98 PDB  MOLECULE: CAPSID PROTEIN P24;                                        
   4:  2l6e-A 10.8  2.0   75    94   95 PDB  MOLECULE: CAPSID PROTEIN P24;                                        
   5:  4ph0-A  9.5  2.1   71   201   30 PDB  MOLECULE: BLV CAPSID;                                                
   6:  5a9e-A  9.3  2.4   74   254   20 PDB  MOLECULE: DELTAMBD GAG PROTEIN;                                      
   7:  1qrj-A  8.7  2.1   72   214   32 PDB  MOLECULE: HTLV-I CAPSID PROTEIN;                                     
   8:  2lf4-A  8.3  2.3   74   232   96 PDB  MOLECULE: GAG POLYPROTEIN;                                           
   9:  4x3x-A  5.3  3.1   65    82   18 PDB  MOLECULE: ACTIVITY-REGULATED CYTOSKELETON-ASSOCIATED PROTEI          
  10:  4x3h-A  4.6  2.8   61    79   11 PDB  MOLECULE: ACTIVITY-REGULATED CYTOSKELETON-ASSOCIATED PROTEI          
  11:  1vhn-A  3.4  3.3   63   305   10 PDB  MOLECULE: PUTATIVE FLAVIN OXIDOREDUCATASE;                           
  12:  1dk8-A  3.4  4.1   61   147   13 PDB  MOLECULE: AXIN;                                                      
  13:  3hmj-A  3.4  3.6   54  1750    9 PDB  MOLECULE: FATTY ACID SYNTHASE SUBUNIT ALPHA;                         
  14:  3oeo-A  3.4  3.4   51    91   12 PDB  MOLECULE: SPHEROPLAST PROTEIN Y;                                     
  15:  3o39-A  3.3  3.3   51    96   12 PDB  MOLECULE: PERIPLASMIC PROTEIN RELATED TO SPHEROBLAST FORMAT          
  16:  1j8m-F  3.1  3.4   58   295    7 PDB  MOLECULE: SIGNAL RECOGNITION 54 KDA PROTEIN;                         
  17:  3i4r-B  3.1  3.1   53   528    6 PDB  MOLECULE: NUCLEAR PORE COMPLEX PROTEIN NUP107;                       
  18:  2och-A  3.0  5.6   50    66   10 PDB  MOLECULE: HYPOTHETICAL PROTEIN DNJ-12;                               
  19:  2noj-B  3.0  3.1   49    58    4 PDB  MOLECULE: COMPLEMENT C3;                                             
  20:  3b0v-C  2.9  3.9   63   315    8 PDB  MOLECULE: TRNA;                                                      
  21:  3onj-A  2.9  3.4   52    97   10 PDB  MOLECULE: T-SNARE VTI1;                                              
  22:  3fmt-A  2.8  3.0   59   162   10 PDB  MOLECULE: PROTEIN SEQA;                                              
  23:  1oqc-A  2.8  3.6   60   112    8 PDB  MOLECULE: AUGMENTER OF LIVER REGENERATION;                           
  24:  3j7y-h  2.8  2.9   52   100    6 PDB  MOLECULE: 16S RRNA;                                                  
  25:  1xsz-A  2.7  3.3   59   356    3 PDB  MOLECULE: GUANINE NUCLEOTIDE EXCHANGE PROTEIN;                       
  26:  3ejb-A  2.7  3.6   51    78    6 PDB  MOLECULE: ACYL CARRIER PROTEIN;                                      
  27:  2bvl-A  2.6  2.5   47   543    9 PDB  MOLECULE: TOXIN B;                                                   
  28:  2es4-E  2.6  4.1   49   278    6 PDB  MOLECULE: LIPASE;                                                    
  29:  2wui-A  2.6  2.9   40   200    8 PDB  MOLECULE: TRANSCRIPTIONAL REGULATOR;                                 
  30:  3h6p-C  2.6  2.8   40    56    5 PDB  MOLECULE: ESAT-6 LIKE PROTEIN ESXS;                                  
  31:  2nn4-A  2.6  2.7   42    62   12 PDB  MOLECULE: HYPOTHETICAL PROTEIN YQGQ;                                 
  32:  1jra-A  2.5  3.7   59   106   15 PDB  MOLECULE: ERV2 PROTEIN, MITOCHONDRIAL;                               
  33:  1vqr-A  2.5  3.4   50   284    6 PDB  MOLECULE: HYPOTHETICAL PROTEIN CJ0248;                               
  34:  3myb-A  2.5  3.5   46   259    7 PDB  MOLECULE: ENOYL-COA HYDRATASE;                                       
  35:  1m12-A  2.4  2.9   48    84    4 PDB  MOLECULE: SAPOSIN C;                                                 
  36:  1lot-A  2.4  4.4   58   436    5 PDB  MOLECULE: VITAMIN D-BINDING PROTEIN;                                 
  37:  3qzc-B  2.4  4.0   50   112   14 PDB  MOLECULE: PERIPLASMIC PROTEIN CPXP;                                  
  38:  2fi2-A  2.3  6.7   48    94    8 PDB  MOLECULE: ZINC FINGER PROTEIN 42;                                    
  39:  3lf9-A  2.3  3.0   53   120    4 PDB  MOLECULE: 4E10_D0_1IS1A_001_C (T161);                                
  40:  2qsa-A  2.3  5.3   52   101   10 PDB  MOLECULE: DNAJ HOMOLOG DNJ-2;                                        
  41:  1tmx-A  2.3  6.3   44   291   14 PDB  MOLECULE: HYDROXYQUINOL 1,2-DIOXYGENASE;                             
  42:  2wg7-B  2.3  2.6   49   119    0 PDB  MOLECULE: PUTATIVE PHOSPHOLIPASE A2;                                 
  43:  2crb-A  2.3  3.4   52    97    4 PDB  MOLECULE: NUCLEAR RECEPTOR BINDING FACTOR 2;                         
  44:  3fey-A  2.3  5.1   45   761   20 PDB  MOLECULE: NUCLEAR CAP-BINDING PROTEIN SUBUNIT 1;                     
  45:  1obh-A  2.3  4.1   55   764    9 PDB  MOLECULE: LEUCYL-TRNA SYNTHETASE;                                    
  46:  2v6y-A  2.3  2.9   47    75    6 PDB  MOLECULE: AAA FAMILY ATPASE, P60 KATANIN;                            
  47:  2xgu-A  2.2  3.3   62   143   16 PDB  MOLECULE: RELIK CAPSID N-TERMINAL DOMAIN;                            
